DIRECTORIO;SECUENCIA_ENCUESTA;SECUENCIA_P;ORDEN;FEX_C;P1079;P9010;P9025;P9025S1;P9025S2;P5230;P9090;P784;P784S1;P784S1A1;P784S1A2;P784S2;P784S2A1;P784S2A2;P784S5;P784S5A1;P784S5A2;P784S4;P784S4A1;P1072;P1072S1;P1072S2;P1077;P1077S1;P1077S2;P1077S3;P1077S4;P1077S5;P1077S6;P1077S27;P1077S7;P1077S8;P1077S9;P1077S10;P1077S11;P1077S12;P1077S13;P1077S14;P1077S15;P1077S15A1;P1077S16;P1077S16A1;P1077S17;P1077S18;P1077S19;P1077S20;P1077S21;P1077S21A1;P1077S22;P1077S22A1;P1077S23;P1077S23A1;P1076;P1075;P1075S1;P1075S2;P3199;P1074;P795;P795S1;P795S1A1;P795S1A2;P795S2;P795S3;P795S4;P3201;P1913;P1913S1;P1913S2;P1913S3;P1913S10;P1913S9;P1913S5;P1913S6;P1913S7;P1913S11;P1913S12;P1913S8;P1913S13;P3202;P3202S1;P3202S2;P3202S3;P3202S4;P3202S5;P3202S6;P3202S7;P3202S8;P3202S9;P3202S10;P3202S11;P3202S12;P3203;P3203S1;P3203S2;P3203S3;P3203S4;P3203S5;P3203S6;P3203S7;P3203S8;P3203S9;P3203S10;P3203S11;P3203S12;P3203S13;P3203S14;P3353;P3354;P3355;P3356;P3357;P3358
7567439;1;1;1;20.014.693.005;1;1;;2;2;2;2;;2;;;2;;;2;;;2;;;2;200;;1;1;1;2;2;1;1;2;1;2;1;2;2;2;2;2;;2;;1;2;2;2;2;;2;;2;;3;1;1;2;1;;;1;2;1;;;;;;12;15;30;7;7;16;5;3;40;5;17;;;;;;;;;;1;;;;;;;;1;;;;;;;;;1;;;2;3;4;2;1;3
7567440;1;1;1;14.980.488.607;1;2;;2;2;2;2;;2;;;2;;;2;;;2;;;3;200;;1;1;1;1;1;1;1;2;1;1;1;2;2;1;1;1;1;2;;1;1;1;2;1;1;1;1;1;1;;1;1;1;1;;;;;;1;;;1;;7;10;60;3;60;7;2;1;15;3;5;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;3;3;4;3;2;2
7567441;1;1;1;15.986.531.057;1;1;;2;2;2;3;;2;;;2;;;2;;;2;;;0;0;;1;1;1;1;1;1;1;1;1;2;1;2;2;2;2;1;1;2;;2;2;1;2;2;;1;1;1;1;;1;1;2;1;;;;;;1;;;1;;0;0;30;15;0;5;5;5;10;0;5;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;3;3;3;4;3;3
7567442;1;1;1;21.305.020.979;1;1;;2;2;2;3;;2;;;2;;;2;;;2;;;0;250;;1;1;1;1;1;1;1;2;1;2;1;2;2;1;2;1;3;2;;2;2;1;1;2;;1;1;2;;;1;1;2;1;;;;;;;1;;1;;25;5;40;10;90;1;4;1;30;14;10;;;;;;;;;;1;;;;;;;;;;1;;;;;;;;;;2;3;4;2;1;1
7569259;1;1;1;1.907.443.863;1;2;;1;2;1;2;;2;;;2;;;2;;;2;;;3;0;;2;2;1;2;2;1;1;2;2;2;2;2;2;1;2;2;;2;;1;2;2;2;2;;1;2;2;;;1;1;1;1;;;;;;;;;;;0;10;60;10;10;20;10;2;40;20;20;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;5;3;2;1;3;3
7569260;1;1;1;17.762.812.285;1;1;;2;2;2;3;;2;;;2;;;2;;;2;;;2;0;;2;1;1;1;1;1;2;2;1;2;2;2;2;2;2;1;1;2;;2;2;2;2;1;1;1;1;2;;;1;1;2;1;;;1;1;2;;;;;;0;2;30;30;30;3;6;6;30;3;15;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;3;3;4;4;1;2
7569261;1;1;1;14.342.601.879;1;2;;1;2;1;2;;2;;;2;;;2;;;2;;;7;0;;1;1;1;2;2;1;1;2;1;2;2;2;2;2;2;2;;1;1;1;2;2;2;1;1;1;2;2;;;1;1;1;1;;;1;2;1;;;;;;10;15;30;5;60;20;10;1;30;30;15;;;1;;;;;;;1;;1;1;;;;;;1;1;;;;;1;;;;;4;3;4;4;3;3
7569262;1;1;1;81.540.568.009;1;1;;2;2;1;1;;2;;;2;;;2;;;2;;;6;0;;1;1;1;1;1;1;2;1;1;1;1;2;2;2;2;2;;2;;2;2;1;2;2;;2;;2;;4;1;2;1;;;;;;;1;;;2;;5;12;25;10;15;20;4;10;30;12;10;;;1;1;;;;;;;;1;1;;;;;;;1;;;;;1;;1;;;2;2;2;2;1;1
7574885;1;1;1;1.620.231.714;1;2;;2;2;1;2;;2;;;2;;;2;;;2;;;8;0;;1;1;1;1;1;2;1;1;1;2;1;2;2;2;1;1;1;2;;2;2;1;2;1;1;1;1;2;;;1;1;1;1;;;;;;1;;;1;;5;10;10;5;5;10;5;10;15;10;5;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;3;4;4;4;2;3
7574886;1;1;1;15.736.085.789;2;1;;2;2;2;2;;2;;;2;;;2;;;2;;;2;0;;1;1;1;1;1;1;1;1;1;1;1;2;2;1;2;1;1;1;2;1;2;1;1;2;;1;3;1;1;;1;1;1;1;;;;;;;1;;1;;7;10;40;4;60;30;5;5;40;30;30;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;1;2;2;4;3;2;2
7574887;1;1;1;17.853.101.367;1;1;;2;2;2;3;;2;;;2;;;2;;;2;;;0;0;;1;1;1;1;2;1;1;2;1;2;2;2;2;1;2;1;1;2;;2;2;1;1;2;;1;1;1;1;;1;1;2;1;;;;;;1;;;2;;10;8;5;5;0;10;5;10;20;15;5;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;2;2;4;4;2;2
7574888;1;1;1;11.174.192.489;1;1;;2;2;2;3;;2;;;2;;;2;;;2;;;2;0;;1;1;1;1;1;1;1;2;1;1;1;2;2;2;1;1;1;2;;1;1;1;1;1;1;1;3;1;1;;1;1;1;1;;;;;;1;;;1;;2;2;10;1;5;10;1;2;30;30;5;;;;1;;;;;;;;;;;;;1;;;;;;;;;;;;;2;1;4;2;1;2
7574889;1;1;1;13.322.109.214;1;1;;1;2;2;3;;2;;;2;;;2;;;2;;;0;250;;1;1;1;1;1;1;1;1;2;2;1;2;2;2;2;2;;2;;2;2;2;2;2;;1;1;2;;;1;1;1;1;;;1;1;2;;;;;;10;0;25;5;60;25;10;15;15;120;30;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;3;3;4;3;2;2
7574890;1;1;1;15.015.398.686;1;1;;2;2;2;3;;2;;;2;;;2;;;2;;;0;0;;1;1;1;1;1;1;1;2;1;1;1;2;2;2;1;1;1;1;1;1;2;1;1;2;;1;1;2;;;1;1;1;1;;;;;;1;;;1;;10;3;60;2;60;20;3;3;15;10;15;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;3;2;4;2;2;2
7574891;1;1;1;15.046.276.682;1;2;;2;2;2;2;;2;;;2;;;2;;;2;;;5;0;;2;1;1;2;2;2;1;1;2;2;1;2;2;2;2;2;;2;;2;2;2;2;1;1;2;;2;;;1;1;2;1;;;1;1;2;;;;;;15;5;20;5;5;10;5;5;30;15;15;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;3;2;3;2;3;2
7574892;1;1;1;14.595.126.339;2;1;;2;2;2;2;;2;;;2;;;2;;;2;;;10;0;;1;1;1;2;2;1;1;1;1;2;1;2;2;2;2;2;;1;1;2;2;2;2;2;;2;;2;;1;1;2;1;;;;1;2;1;;;;;;5;40;30;5;30;30;30;1;30;30;30;30;;;;;;1;;;;;;;;;;;;1;1;;;;;;;;;;2;2;2;2;1;1
7576531;1;1;1;18.463.054.912;1;1;;2;2;2;3;;2;;;2;;;2;;;2;;;2;0;;1;1;1;1;1;1;2;2;1;2;1;2;2;2;2;1;1;2;;2;2;1;2;1;1;1;1;2;;;1;1;2;1;;;;;;1;;;1;;20;10;40;10;40;5;5;5;15;12;15;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;3;3;4;4;2;2
7576532;1;1;1;22.633.307.205;1;1;;2;2;2;2;;2;;;2;;;2;;;2;;;3;300;;1;1;1;1;2;1;1;1;1;1;1;2;2;2;2;2;;2;;1;2;1;2;2;;2;;2;;4;1;1;1;1;;;;;;1;;;1;;8;10;60;5;0;45;6;1;10;5;8;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;4;3;4;3;3;3
7576533;1;1;1;14.387.877.951;1;2;;1;2;2;2;;2;;;2;;;2;;;2;;;1;0;;1;1;1;1;1;1;1;2;1;2;1;2;2;2;2;2;;2;;2;2;1;2;2;;2;;2;;2;1;1;2;1;;;;;;1;;;1;;5;0;20;5;5;30;3;2;20;20;20;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;3;3;4;2;2;2
7576534;1;1;1;21.965.380.198;1;1;;1;2;2;2;;2;;;2;;;2;;;2;;;3;0;;1;1;1;2;2;1;2;2;1;2;2;2;2;2;2;1;1;2;;2;2;1;2;2;;1;2;2;;;1;1;2;1;;;;;;1;;;1;;10;99;10;5;99;5;5;5;5;99;5;;;;;;;;;1;;;;;;;;;;1;;;;;;1;;;;;4;2;4;2;3;3
7576535;1;1;1;13.986.739.576;2;1;;2;2;2;2;;2;;;2;;;2;;;2;;;2;250;;1;1;1;1;1;1;1;2;1;2;2;2;2;2;2;1;1;2;;1;2;1;1;2;;1;3;1;3;;1;1;2;1;;;;;;1;;;1;;10;70;35;15;45;20;10;5;5;5;15;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;3;3;4;4;2;2
7576536;1;1;1;12.436.321.887;1;2;;1;2;2;3;;2;;;2;;;2;;;2;;;3;0;;1;1;1;1;1;1;1;2;1;1;1;2;2;1;2;1;2;2;;1;2;1;2;1;2;1;4;1;2;;1;1;1;1;;;;;;;1;;1;;10;5;45;5;45;15;5;5;10;10;5;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;3;2;2;2;2;2
7576537;1;1;1;12.591.284.827;1;2;;1;2;2;2;;2;;;2;;;2;;;2;;;1;0;;1;1;1;1;1;1;1;1;1;2;1;2;2;2;2;1;1;2;;1;1;1;2;1;1;1;2;1;1;;1;1;2;1;;;;;;1;;;1;;10;30;5;15;15;5;5;20;30;10;15;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;3;2;4;3;2;2
7576538;1;1;1;14.610.203.784;1;1;;1;2;2;1;;2;;;2;;;1;1;1100000;2;;;4;0;;2;1;1;2;2;2;1;2;1;2;2;2;2;2;2;2;;1;1;1;2;1;2;1;1;2;;2;;;1;1;1;1;;;;;;1;;;1;;15;0;30;10;20;30;10;5;60;60;30;;;;1;;;;;;1;;1;;;;;1;;;;;;;;1;1;;;;5;4;4;2;3;3
7576539;1;1;1;14.947.681.874;1;2;;1;2;2;2;;2;;;2;;;2;;;2;;;1;0;;1;1;1;1;1;1;1;1;2;2;2;2;2;1;2;1;1;1;1;2;1;2;2;2;;1;1;1;1;;1;1;2;1;;;1;1;2;;;;;;15;5;30;5;30;15;5;5;15;0;10;;;;;;1;;;;;;;;;;;;;1;;;;;;;;;;;5;4;5;5;3;3
7576540;1;1;1;26.343.437.949;1;2;;2;2;2;3;;2;;;2;;;2;;;2;;;4;0;;1;1;1;1;2;1;1;2;1;1;1;2;2;1;1;1;2;2;;2;1;1;1;1;1;1;1;2;;;1;1;1;1;;;;;;1;;;1;;5;5;40;5;5;10;5;1;10;5;5;;;;;;;;;;;1;1;1;;;;;;1;1;;;;;;;;;;3;2;4;4;2;3
7576541;1;1;1;20.626.671.012;1;1;;2;2;2;2;;2;;;2;;;2;;;2;;;7;0;;1;1;1;1;2;1;1;1;1;1;1;2;2;2;2;1;1;1;1;1;2;1;1;2;;1;2;2;;;1;1;1;1;;;;;;1;;;1;;15;20;30;5;5;45;5;5;20;5;30;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;3;2;5;4;2;3
7576542;1;1;1;14.164.136.562;1;1;;2;2;2;3;;2;;;2;;;2;;;2;;;3;0;;1;1;1;1;1;2;1;2;1;2;2;2;2;1;1;1;1;1;1;1;2;1;1;2;;1;1;1;1;;1;1;1;1;;;1;2;1;;1;;1;;10;20;30;5;120;15;5;5;15;10;15;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;3;3;4;2;2;2
7576543;1;1;1;22.364.613.574;2;2;;2;2;2;1;;2;;;2;;;2;;;2;;;10;0;;1;1;1;1;1;1;1;1;1;2;2;2;2;2;2;2;;2;;1;2;1;2;2;;1;1;2;;;1;1;2;1;;;;;;1;;;1;;10;10;40;5;15;15;5;5;20;10;10;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;2;2;4;3;3;3
7576544;1;1;1;10.794.691.702;1;2;;2;2;2;1;;2;;;2;;;2;;;2;;;3;0;;1;1;1;1;1;1;1;2;1;1;2;2;2;2;2;2;;2;;2;2;1;1;2;;1;2;2;;;1;1;2;1;;;;;;1;;;1;;5;0;30;5;10;30;6;1;60;5;15;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;4;2;5;3;3;3
7576545;1;1;1;19.983.163.821;1;1;;2;2;2;2;;2;;;2;;;2;;;2;;;1;0;;1;1;1;1;2;1;1;2;1;2;2;2;2;2;2;2;;2;;2;2;2;2;1;1;2;;1;1;;1;1;2;1;;;1;2;1;;;;;;10;15;60;20;0;20;15;2;20;5;10;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;4;4;2;4;3;3
7576546;1;1;1;18.932.946.165;1;1;;1;2;2;1;;2;;;2;;;2;;;2;;;6;0;;1;1;1;2;2;1;1;1;1;1;2;2;2;2;2;2;;2;;2;2;1;2;1;1;2;;1;1;;1;1;2;1;;;;;;1;;;1;;10;0;90;15;30;30;15;5;90;5;20;;;;;;;;1;;;;;;;;;;;1;;;;;;;;;;;3;1;4;3;2;3
7576547;1;1;1;1.421.496.947;2;1;;2;2;2;3;;2;;;2;;;2;;;2;;;5;0;;1;1;1;1;1;1;1;2;1;2;2;2;2;1;1;1;2;2;;1;1;1;2;1;1;1;2;2;;;1;1;1;1;;;;;;1;;;1;;15;5;30;15;30;30;10;10;15;0;30;;;;1;;;;;;;;;;;;;;;1;;;;;;1;;;;;3;3;3;3;3;2
7576548;1;1;1;14.205.490.342;1;2;;2;2;2;3;;2;;;2;;;2;;;2;;;2;0;;1;1;1;1;1;1;1;2;1;1;1;2;2;1;2;2;;2;;2;2;1;2;2;;1;2;2;;;1;1;1;1;;;;;;;1;;1;;15;5;15;5;0;20;5;5;15;10;5;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;3;2;4;4;2;2
7576549;1;1;1;15.831.063.002;1;1;;2;2;2;3;;2;;;2;;;2;;;2;;;5;300;;1;1;1;1;2;1;1;2;1;2;1;2;2;1;2;1;2;2;;1;2;1;2;1;1;1;3;1;3;;1;1;1;1;;;;;;1;;;1;;10;5;15;5;20;5;5;5;5;10;5;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;3;2;3;2;2;2
7576550;1;1;1;19.983.163.821;1;2;;2;2;2;2;;2;;;2;;;2;;;2;;;0;300;;1;1;1;2;2;1;1;2;1;2;2;2;2;2;2;2;;2;;2;2;2;2;2;;2;;2;;1;2;;;;1;;1;2;1;;;;;;10;5;70;5;0;15;10;1;15;10;5;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;4;4;4;4;2;2
7576551;1;1;1;13.103.393.225;1;2;;2;2;1;1;;2;;;2;;;1;1;960000;2;;;5;0;;1;1;1;2;2;2;1;1;1;2;2;2;2;2;2;2;;1;1;2;2;1;2;1;1;2;;1;1;;1;1;2;1;;;;;;1;;;1;;5;20;40;2;20;15;5;15;20;15;20;;;1;1;;;;;;1;;;;;;1;;;;;;;;;1;;;;;3;2;2;3;3;3
7576552;1;1;1;21.965.380.198;1;1;;2;2;2;3;;2;;;2;;;2;;;2;;;3;0;;1;1;1;1;1;1;1;2;1;1;1;2;2;1;1;1;2;2;;1;1;1;1;1;1;1;3;1;2;;1;1;2;1;;;;;;1;;;1;;2;6;15;1;15;2;1;2;2;15;2;;;;;;;;;;1;;;;;;;;;;1;;;;;;;;;1;2;2;4;4;1;1
7576553;1;1;1;15.341.929.569;1;2;;1;2;1;1;;2;;;2;;;2;;;2;;;4;0;;1;1;1;2;2;1;1;1;2;2;1;2;2;2;2;2;;2;;2;2;1;2;2;;1;1;2;;;1;1;2;1;;;;;;1;;;1;;30;0;40;5;10;50;5;10;50;10;30;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;4;4;5;3;2;3
7576554;1;1;1;14.620.534.838;1;1;;2;2;1;1;;2;;;2;;;2;;;2;;;1;0;;2;1;1;2;2;1;1;1;2;2;1;2;2;2;2;2;;2;;2;2;1;2;1;1;2;;2;;;1;1;2;1;;;;;;1;;;1;;5;30;30;5;5;5;2;10;10;15;30;;;1;;;;;;1;;;;1;;;;;;1;;;;;;;;1;;1;5;2;4;2;3;3
7576555;1;1;1;16.143.496.424;1;2;;2;2;2;3;;2;;;2;;;2;;;2;;;0;0;;1;1;1;1;2;1;1;1;1;2;2;2;2;2;2;1;1;1;1;1;2;1;2;2;;1;1;2;;;1;1;2;1;;;;;;1;;;1;;10;0;40;5;20;30;5;10;30;10;30;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;2;1;4;3;2;2
7576556;1;1;1;14.049.636.274;1;2;;2;2;2;2;;2;;;2;;;2;;;2;;;0;0;;1;1;1;1;1;1;1;2;1;2;1;2;2;2;2;1;1;1;1;1;2;1;1;1;1;1;1;2;;;1;1;2;1;;;;;;1;;;1;;10;10;30;10;15;35;10;10;40;10;20;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;3;3;5;5;2;2
7576557;1;1;1;1.820.743.118;1;1;;2;2;2;2;;2;;;2;;;2;;;2;;;8;0;;1;1;1;1;1;1;1;2;1;2;1;2;2;2;2;2;;2;;1;2;1;2;2;;1;2;2;;;1;1;2;1;;;;;;1;;;1;;10;30;30;10;15;30;5;10;40;10;20;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;3;3;5;3;2;2
7576558;1;1;1;1.638.043.493;1;2;;1;2;1;1;;2;;;2;;;2;;;2;;;10;450;;2;2;1;2;2;2;2;2;1;2;2;2;2;2;2;2;;2;;1;2;1;2;2;;2;;2;;3;1;1;1;1;;;;;;1;;;1;;5;5;20;20;10;5;1;10;30;10;15;;;1;;;;;;;1;;1;;;;;;1;1;;;;;;1;;1;1;;3;2;4;2;1;3
7576559;1;1;1;21.262.451.132;1;1;;2;2;2;1;;1;1;100000;2;;;2;;;2;;;2;0;;1;1;1;2;2;1;2;1;2;2;1;2;2;2;2;2;;1;1;2;2;2;2;2;;2;;1;1;;1;2;1;;;;1;1;2;;;;;;2;15;15;1;40;15;15;1;15;15;15;15;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;2;2;2;3;2;2
7576564;1;1;1;10.707.976.848;1;2;;2;2;2;2;;2;;;2;;;2;;;2;;;7;0;;1;1;1;2;2;1;1;2;1;2;2;2;2;2;2;2;;2;;2;2;2;2;2;;2;;2;;1;1;2;1;;;;1;2;1;;;;;;2;15;15;2;30;15;15;1;15;15;15;30;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;2;2;2;2;2;2
7576567;1;1;1;56.824.979.272;1;2;;1;2;2;2;;2;;;2;;;2;;;2;;;4;0;;1;1;1;2;2;1;2;2;1;2;2;2;2;2;2;2;;1;1;2;2;1;2;2;;1;1;2;;;1;1;2;1;;;;;;;1;;1;;2;15;15;5;40;10;10;1;20;15;15;15;;;;;1;;;;;;;;;;;;;1;;;;;;;;;;;4;3;4;3;2;2
7576568;1;1;1;64.366.003.713;1;1;;2;2;1;1;;2;;;2;;;2;;;2;;;2;0;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;;1;1;2;2;2;2;2;;2;;2;;2;2;;;;7;;;;;;;;;;15;15;20;20;30;30;30;30;35;35;35;25;;;;;;;;;1;;;;;;;;;1;;;;;;;;;;;4;4;3;3;3;3
7576569;1;1;1;61.763.952.473;1;2;;2;2;2;1;;2;;;2;;;2;;;2;;;2;0;;2;1;1;2;2;2;2;1;2;2;2;2;2;2;2;2;;2;;2;2;2;2;2;;2;;2;;2;2;;;;1;;1;2;1;;;;;;15;15;15;15;15;15;15;15;15;15;15;15;;1;;;;;;;;;;;;;;;;1;;;;;;;;;;;4;5;5;5;3;3
7576570;1;1;1;10.136.759.592;1;1;;2;2;1;1;;2;;;2;;;2;;;2;;;6;0;;1;1;1;2;2;2;2;1;2;2;1;2;2;2;2;2;;1;1;2;2;1;2;2;;2;;2;;1;1;2;1;;;;;;;;1;;1;;30;25;30;5;30;30;30;10;30;30;30;30;;1;;;;;;;;;;;;;;;;1;;;;;;1;;;;;3;3;3;4;3;3
7576571;1;1;1;90.112.195.737;1;2;;1;2;2;1;;2;;;2;;;2;;;2;;;2;450;;2;2;1;2;2;2;2;1;2;2;2;2;2;2;2;2;;2;;2;2;2;2;2;;2;;2;;4;1;2;1;;;;1;2;1;;;;;;15;15;15;15;15;15;15;15;15;15;15;15;;1;;;;;;;;;;;;;;;;1;1;;;;;;;;;;4;4;5;3;3;2
7576572;1;1;1;17.829.231.643;1;1;;2;2;1;2;;2;;;2;;;2;;;2;;;10;0;;2;2;1;2;2;2;2;1;2;2;2;2;2;2;2;2;;2;;2;2;2;2;2;;2;;2;;3;1;2;1;;;;1;2;1;;;;;;18;18;18;18;18;18;18;18;18;18;18;18;;1;1;1;;;;;;;;;;;;;;;1;;;;;;;;;;3;3;3;3;3;3
7576574;1;1;1;10.623.644.173;2;1;;1;2;2;2;;2;;;2;;;2;;;2;;;3;0;;1;1;1;2;2;2;2;2;1;2;2;2;2;2;2;2;;2;;2;2;1;2;2;;2;;2;;1;1;2;1;;;;;;;;1;;2;;1;30;30;2;60;30;30;1;30;30;30;30;;;1;;;;;;;;;;;;;;;1;;;;;;;;;;;2;2;3;2;2;2
7576575;1;1;1;72.350.667.671;1;1;;2;2;1;1;;2;;;2;;;2;;;2;;;3;0;;2;1;1;2;2;2;1;1;2;2;2;2;2;2;2;2;;2;;2;2;1;2;1;1;2;;2;;;1;2;1;;;;;;;;1;;2;;1;10;20;2;60;20;20;1;20;20;20;20;;;;1;;;;;;;;;;;;;1;;;;;;;;;;;;4;4;3;2;2;2
7576576;1;1;1;16.884.978.133;1;1;;2;2;2;2;;2;;;2;;;1;1;1920000;2;;;7;0;;2;1;1;2;2;2;1;1;2;2;2;2;2;2;2;2;;2;;2;2;2;2;2;;2;;2;;3;1;2;1;;;;1;1;2;;;;;;40;40;40;2;120;40;40;1;40;10;40;40;;1;;;;;;;;;;;;;;1;;;;;;;;;;;;;2;2;2;2;2;2
7576579;1;1;1;14.595.126.339;2;2;;2;2;2;1;;2;;;2;;;2;;;2;;;6;0;;2;1;1;2;2;2;2;1;2;2;2;2;2;2;2;2;;2;;2;2;2;2;2;;2;;2;;3;1;2;1;;;;1;1;2;;;;;;30;30;30;10;120;30;30;1;30;30;30;30;;1;;;;;;;;;;;;;;;;;1;;;;;;;;;;2;3;3;3;2;2
7576580;1;1;1;10.656.782.777;1;1;;2;2;2;2;;2;;;2;;;2;;;2;;;6;0;;1;1;1;2;2;2;2;2;1;2;1;2;2;2;2;2;;1;1;2;2;2;2;2;;1;2;2;;;1;2;1;;;;1;1;2;;;;;;30;30;40;40;40;40;30;15;40;45;40;40;;1;1;;;;;;;;;;;;;;1;1;;;;;;;;;;;2;2;2;2;2;3
7576582;1;1;1;10.450.523.568;1;2;;1;2;1;1;;2;;;2;;;2;;;2;;;2;0;;1;2;1;2;2;2;2;1;2;2;2;2;2;2;2;2;;2;;2;2;2;2;1;1;2;;2;;;1;1;2;1;;;1;1;2;;;;;;30;10;35;5;120;35;35;1;35;15;35;35;;1;;;;;;;;;;;;;;;;1;;;;;;;;;;;4;3;2;2;1;2
7576583;1;1;1;11.637.512.547;1;2;;1;2;2;1;;2;;;2;;;2;;;2;;;4;250;;2;1;1;2;2;2;2;1;2;2;2;2;2;2;2;2;;1;1;2;2;2;2;2;;1;1;2;;;1;1;2;1;;;1;2;1;;;;;;15;15;15;15;15;15;10;10;10;10;15;10;;;1;;;;;;;;;;;;;;;;1;;;;;;;;;;3;2;3;2;3;3
7576584;1;1;1;11.095.912.213;1;1;;2;2;1;1;;2;;;2;;;2;;;2;;;3;0;;1;1;1;2;2;2;2;1;2;2;2;2;2;2;2;2;;2;;2;2;2;2;2;;2;;2;;3;2;;;;1;;1;1;2;;;;;;30;45;40;30;40;40;40;40;45;45;45;45;;;;;;1;;;;;;;;;;;1;1;;;;;;;;;;;3;3;3;3;3;3
7576585;1;1;1;16.437.794.433;1;1;;2;2;2;1;;2;;;1;1;1500000;2;;;2;;;4;0;;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;;2;;2;2;2;2;2;;2;;2;;3;2;;;;1;;1;2;1;;;;;;30;30;35;35;30;30;35;35;40;40;40;30;;1;;;;;;;;;1;;;;;;;1;;;;;;1;;1;;;4;4;5;5;3;3
7576586;1;1;1;95.845.484.247;1;2;;1;2;2;2;;2;;;2;;;2;;;2;;;5;0;;1;1;1;2;2;2;1;1;2;2;1;2;2;2;2;2;;2;;1;2;2;2;1;1;1;1;2;;;1;1;2;1;;;1;2;1;;;;;;10;10;10;10;10;15;10;10;10;10;10;10;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;3;3;5;5;3;3
7576587;1;1;1;55.019.616.344;2;2;;1;2;2;2;;2;;;2;;;2;;;2;;;4;0;;1;1;1;2;2;2;1;1;2;2;1;2;2;2;2;2;;2;;1;2;2;2;2;;2;;2;;1;1;2;1;;;;1;2;1;;;;;;20;20;20;10;20;25;20;20;20;20;20;20;;;1;;;;;;;;;;;;;;;;1;1;;;;;;;;;3;2;4;5;2;3
7584898;1;1;1;1.493.686.281;1;2;;1;2;2;3;;2;;;2;;;2;;;2;;;1;0;;1;1;1;1;1;1;1;2;1;2;1;2;2;1;1;1;1;2;;1;2;1;2;1;2;1;3;1;2;;1;1;1;1;;;;;;;1;;1;;35;20;90;2;120;60;2;4;10;20;20;;;1;;1;;;;1;;1;1;1;;;;;;1;;;;;;;;;;;3;3;3;4;3;3
7584899;1;1;1;13.545.336.445;1;2;;2;2;2;1;;2;;;2;;;2;;;2;;;4;0;;1;1;1;2;1;1;1;2;1;2;2;2;2;2;2;2;;2;;2;2;1;2;1;2;2;;2;;;1;1;1;1;;;;;;1;;;1;;15;10;0;5;0;60;5;5;0;5;10;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;4;4;4;4;3;3
7584901;1;1;1;15.411.376.294;1;2;;2;2;1;2;;2;;;2;;;2;;;2;;;1;0;;1;1;1;1;1;1;1;2;1;2;2;2;2;2;2;1;1;2;;2;2;1;1;2;;1;2;1;1;;1;1;1;1;;;;;;1;;;1;;4;5;45;15;90;30;5;10;45;20;15;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;4;3;4;3;3;3
7584902;1;1;1;14.387.877.951;1;2;;2;2;2;2;;2;;;2;;;2;;;2;;;1;0;;1;1;1;1;1;1;1;2;1;2;2;2;2;2;2;1;1;2;;2;2;1;2;2;;2;;2;;2;2;;;;3;;;;;1;;;2;;10;5;45;5;0;40;5;15;60;25;20;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;4;4;4;3;3;3
7584904;1;1;1;20.714.027.538;1;2;;2;2;2;1;;2;;;2;;;2;;;2;;;5;0;;1;1;1;1;2;1;2;2;1;2;1;2;2;2;2;2;;1;1;1;2;1;2;2;;1;1;2;;;1;1;2;1;;;;;;1;;;2;;10;20;60;10;5;40;5;10;50;10;20;;;1;;;;;;;;;;;;;;;;;;;;;;1;;;;;3;2;5;4;3;3
