DIRECTORIO;SECUENCIA_ENCUESTA;SECUENCIA_P;ORDEN;FEX_C;P1079;P9010;P9025;P9025S1;P9025S2;P5230;P9090;P784;P784S1;P784S1A1;P784S1A2;P784S2;P784S2A1;P784S2A2;P784S5;P784S5A1;P784S5A2;P784S4;P784S4A1;P1072;P1072S1;P1072S2;P1077;P1077S1;P1077S2;P1077S3;P1077S4;P1077S5;P1077S6;P1077S27;P1077S7;P1077S8;P1077S9;P1077S10;P1077S11;P1077S12;P1077S13;P1077S14;P1077S15;P1077S15A1;P1077S16;P1077S16A1;P1077S17;P1077S18;P1077S19;P1077S20;P1077S21;P1077S21A1;P1077S22;P1077S22A1;P1077S23;P1077S23A1;P1076;P1075;P1075S1;P1075S2;P3199;P1074;P795;P795S1;P795S1A1;P795S1A2;P795S2;P795S3;P795S4;P3201;P1913;P1913S1;P1913S2;P1913S3;P1913S10;P1913S9;P1913S5;P1913S6;P1913S7;P1913S11;P1913S12;P1913S8;P1913S13;P3202;P3202S1;P3202S2;P3202S3;P3202S4;P3202S5;P3202S6;P3202S7;P3202S8;P3202S9;P3202S10;P3202S11;P3202S12;P3203;P3203S1;P3203S2;P3203S3;P3203S4;P3203S5;P3203S6;P3203S7;P3203S8;P3203S9;P3203S10;P3203S11;P3203S12;P3203S13;P3203S14;P3353;P3354;P3355;P3356;P3357;P3358
7735096;1;1;1;11.961.887.355;1;1;;2;2;2;2;;2;;;2;;;2;;;2;;;4;0;;2;1;1;2;2;2;2;1;2;2;2;2;2;2;2;2;;2;;1;2;2;2;2;;1;1;2;;;2;;;;1;;1;2;1;;;;;;5;20;60;5;60;60;60;5;60;15;60;60;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;2;2;3;2;3;3
7735097;1;1;1;55.019.616.344;1;1;;2;2;2;2;;2;;;2;;;2;;;2;;;3;0;;2;1;1;2;2;2;2;1;2;2;2;2;2;2;2;2;;2;;1;2;2;2;2;;2;;2;;3;2;;;;1;;1;2;1;;;;;;5;20;60;5;60;60;60;5;60;60;60;60;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;2;2;4;2;2;2
7735099;1;1;1;96.447.300.733;1;1;;2;2;1;1;;2;;;2;;;2;;;2;;;5;12;;1;1;1;2;2;2;1;2;1;2;2;2;2;2;2;1;1;1;1;2;2;2;2;2;;2;;2;;2;1;1;1;1;;;1;1;1;;;;2;;60;60;60;0;60;60;0;60;60;60;60;60;;;;1;;;;;;;;;;;;1;;;;;;;;;;;;;4;4;4;4;3;2
7735100;1;1;1;67.457.447.021;1;1;;2;2;2;2;;2;;;2;;;2;;;2;;;6;0;;1;1;1;2;2;1;1;1;1;1;1;2;2;2;2;1;1;2;;2;2;2;2;1;1;1;1;2;;;1;1;1;1;;;1;1;1;;;;;;5;25;38;15;0;5;20;15;0;12;0;0;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;3;3;3;3;2;2
7735102;1;1;1;57.929.403.342;1;1;;2;2;1;1;;2;;;2;;;2;;;2;;;8;0;;1;1;1;2;2;1;2;1;2;2;1;2;2;2;2;2;;2;;2;2;2;2;2;;2;;2;;3;1;1;2;1;;;1;1;2;;;;;;5;15;30;20;0;10;35;15;0;35;0;0;;1;;;;;;;;;;;;;;1;;;;;;;;;;;;;4;4;4;4;3;3
7735107;1;1;1;15.078.098.253;1;1;;2;2;2;2;;2;;;2;;;2;;;2;;;7;0;;1;1;1;1;1;1;1;1;1;2;1;2;2;1;1;1;1;1;1;1;2;2;2;1;1;1;1;2;;;1;1;2;1;;;1;1;2;;;;;;2;60;90;20;120;5;20;120;120;120;90;0;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;2;2;3;3;2;2
7735109;1;1;1;55.019.616.344;1;1;;2;2;1;1;;2;;;2;;;2;;;2;;;2;0;;2;1;1;2;2;2;2;1;2;2;2;2;2;2;2;2;;2;;1;2;2;2;2;;2;;2;;3;2;;;;2;;1;1;2;;;;;;10;35;45;15;0;5;0;15;0;15;0;0;;1;;;;;;;;;;;;;;1;;;;;;;;;;;;;4;4;4;4;3;3
7735115;1;1;1;96.214.614.043;1;1;;2;2;1;1;;2;;;2;;;2;;;2;;;3;459;;1;1;1;2;2;1;2;1;2;2;1;2;2;2;2;2;;2;;1;2;2;2;1;1;2;;2;;;1;1;2;2;;;1;1;1;;;;;;5;20;45;20;48;30;30;50;50;50;20;30;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;3;4;4;5;3;3
7735117;1;1;1;812.632.809;1;1;;2;2;1;1;;2;;;2;;;2;;;2;;;10;459;;1;1;1;1;2;1;1;1;2;2;2;2;2;2;2;2;;1;1;2;2;2;2;1;1;2;;2;;;2;;;;7;;1;1;1;;;;;;20;20;60;20;60;20;20;60;60;60;35;60;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;3;4;3;5;3;3
7735118;1;1;1;11.044.718.141;2;1;;2;2;2;2;;2;;;2;;;2;;;2;;;7;0;;1;1;1;2;2;2;1;1;1;1;1;2;2;2;2;2;;2;;1;2;1;2;2;;2;;2;;1;2;;;;1;;;;;;1;;2;;10;60;60;30;60;30;60;60;60;60;60;60;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;2;2;4;2;1;1
7735120;1;1;1;6.571.741.739;1;1;;2;2;2;2;;2;;;2;;;2;;;2;;;2;0;;1;1;1;1;1;1;1;2;1;1;1;2;2;1;1;1;1;2;;2;2;1;2;2;;1;3;2;;;1;1;1;1;;;;;;;1;;1;;10;5;35;10;35;10;35;10;35;35;35;40;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;2;2;2;2;1;1
7735121;1;1;1;57.929.403.342;1;1;;2;2;2;2;;2;;;2;;;2;;;2;;;2;0;;1;1;1;2;2;1;1;2;1;2;1;2;2;2;2;2;;2;;1;2;2;2;2;;2;;2;;1;1;1;2;1;;;1;2;1;;;;;;2;20;60;60;60;5;60;60;60;60;60;60;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;3;2;4;2;2;2
7735122;1;1;1;97.033.584.939;1;1;;2;2;2;3;;2;;;2;;;2;;;2;;;2;0;;1;1;1;1;1;1;1;2;1;1;1;2;2;1;1;1;1;2;;2;2;1;2;1;1;1;1;2;;;1;1;1;1;;;;;;;1;;1;;10;15;35;15;35;10;35;10;35;35;35;60;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;3;3;3;3;2;2
7735123;1;1;1;55.019.616.344;1;1;;2;2;2;3;;2;;;2;;;2;;;2;;;7;0;;1;1;1;1;1;1;1;2;1;1;1;2;2;1;2;1;2;2;;2;1;2;1;1;1;1;2;2;;;1;1;1;1;;;1;1;1;;;;;;7;10;35;15;40;8;15;15;0;13;0;0;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;3;3;3;3;2;2
7735125;1;1;1;55.019.616.344;1;1;;2;2;2;2;;2;;;2;;;1;1;165000;2;;;2;0;;1;1;1;2;2;2;2;2;1;2;2;2;2;2;2;2;;2;;1;2;2;2;2;;2;;1;1;;1;1;2;1;;;1;2;1;;;;;;5;25;40;10;60;20;60;60;60;60;60;60;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;2;2;4;4;2;2
7735126;1;1;1;15.599.744.693;1;2;;1;1;2;2;;2;;;2;;;2;;;2;;;5;0;;1;1;1;1;1;1;1;2;1;1;1;2;2;1;1;1;1;2;;2;2;1;2;2;;1;3;2;;;1;1;1;1;;;;;;;1;;1;;15;15;40;15;45;15;40;30;60;60;60;90;;1;;1;;;;;;;;;;;;;;1;;;;;;;;1;;;3;3;3;3;3;2
7735127;1;1;1;55.019.616.344;1;2;;1;2;1;1;;2;;;2;;;2;;;2;;;2;0;;1;1;1;2;2;1;1;1;2;2;2;2;2;2;2;2;;2;;2;2;2;2;2;;2;;2;;3;1;2;1;;;;1;1;2;;;;;;15;15;40;15;40;15;40;15;40;40;40;90;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;3;3;3;3;3;3
7735129;1;1;1;13.413.069.495;1;1;;2;2;2;2;;2;;;2;;;2;;;2;;;7;0;;1;1;1;1;1;1;1;1;1;2;1;2;2;2;2;2;;2;;1;1;2;2;1;1;2;;2;;;1;1;2;1;;;1;2;1;;;;;;7;10;30;30;30;15;30;15;30;15;0;0;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;4;4;3;3;2;2
7735135;1;1;1;81.333.662.854;1;1;;2;2;2;2;;2;;;2;;;2;;;2;;;3;0;;1;1;1;1;2;1;1;2;1;1;1;2;2;2;2;2;;1;1;2;2;2;2;2;;1;1;2;;;1;1;2;2;;;1;1;1;;;;;;5;10;30;15;35;8;35;15;0;10;35;0;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;3;3;3;3;2;3
7735139;1;1;1;57.929.403.342;1;1;;2;2;1;2;;2;;;2;;;2;;;2;;;4;0;;1;1;1;2;1;1;1;2;1;2;1;2;2;2;2;2;;2;;2;2;2;1;1;1;2;;2;;;1;1;2;1;;;1;1;1;;;;;;5;15;40;20;40;15;20;20;0;20;0;0;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;4;4;4;3;3;3
7735143;1;1;1;55.019.616.344;1;1;;1;2;2;2;;2;;;2;;;2;;;2;;;1;0;;1;1;1;1;1;1;1;2;1;1;1;2;2;1;2;1;3;2;;1;2;1;1;2;;1;3;1;1;;1;1;2;1;;;;;;;1;;1;;12;15;60;60;60;15;99;99;99;99;99;99;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;3;3;4;3;2;3
7735145;1;1;1;70.701.195.105;2;1;;2;2;2;2;;2;;;2;;;2;;;2;;;4;0;;1;1;1;2;2;1;1;2;1;1;1;2;2;2;2;1;1;2;;2;2;2;2;1;1;1;1;2;;;1;1;1;1;;;1;1;1;;;;;;8;20;35;15;35;10;15;15;0;0;0;0;;;1;;;;;;;;;;;;;;;1;;;;;;;;;;;4;2;3;3;2;2
7735147;1;1;1;19.985.271.955;1;1;;2;2;1;1;;2;;;2;;;1;1;1900000;2;;;7;0;;1;2;1;2;2;2;2;2;1;1;1;2;2;2;2;2;;1;1;2;2;2;2;2;;2;;1;1;;1;2;1;;;;1;2;1;;;;;;15;15;35;10;35;15;35;35;40;40;35;60;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;3;3;3;3;2;2
7735148;1;1;1;11.637.512.547;1;1;;2;2;2;2;;2;;;2;;;2;;;2;;;7;0;;2;1;1;2;2;2;1;1;2;2;1;2;2;2;2;2;;1;1;2;2;1;2;2;;1;1;2;;;1;2;1;;;;;;;;1;;1;;10;35;35;15;35;15;35;35;40;40;35;60;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;3;3;3;3;2;2
7735149;1;1;1;76.117.198.449;1;1;;2;2;1;1;;2;;;2;;;2;;;2;;;8;0;;2;2;1;2;2;2;2;2;1;2;2;2;2;2;2;2;;1;1;1;2;2;2;2;;2;;2;;3;1;2;1;;;;1;1;2;;;;;;15;15;35;15;35;15;35;35;40;40;35;60;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;3;3;3;3;2;2
7735150;1;1;1;55.019.616.344;1;1;;2;2;1;1;;2;;;2;;;2;;;2;;;6;0;;2;2;1;2;2;2;2;1;2;2;2;2;2;2;2;2;;2;;1;2;2;2;2;;2;;2;;3;1;2;1;;;;1;1;2;;;;;;10;10;35;15;35;15;35;35;40;40;35;60;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;3;3;3;3;2;2
7735151;1;1;1;85.848.622.058;1;1;;2;2;2;1;;2;;;2;;;2;;;2;;;0;250;;1;1;1;1;1;1;1;1;1;1;1;2;2;1;1;1;1;2;;1;2;1;1;1;1;1;1;2;;;1;1;1;1;;;1;1;1;1;;;1;;60;60;120;15;120;60;60;15;120;120;120;0;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;3;3;3;3;2;2
7735152;1;1;1;57.929.403.342;1;1;;2;2;2;2;;2;;;2;;;2;;;2;;;3;0;;1;1;1;1;1;1;1;2;1;1;1;2;2;1;1;2;;1;1;2;2;2;1;1;1;1;1;2;;;1;1;1;1;;;1;1;1;;;;;;5;20;60;25;0;25;25;0;0;0;0;0;;;;;1;;;;;;;;;;;;;1;;;;;;1;;;;;3;3;3;3;2;2
7735153;1;1;1;55.019.616.344;1;1;;2;2;2;1;;2;;;2;;;2;;;2;;;3;0;;1;1;1;2;1;2;2;2;1;2;2;2;2;2;2;2;;2;;1;2;2;2;2;;2;;2;;2;2;;;;2;;1;2;1;;;;;;3;60;20;5;30;5;5;0;0;0;0;0;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;4;4;4;4;3;3
7735154;1;1;1;55.019.616.344;1;1;;2;2;2;1;;2;;;2;;;2;;;2;;;2;0;;2;1;1;2;2;2;2;1;2;2;2;2;2;2;2;2;;2;;2;2;2;2;2;;2;;2;;1;2;;;;2;;1;1;2;;;;;;5;10;30;12;30;6;7;0;0;0;0;0;;1;;;;;;;;;;;;;;1;;;;;;;;;;;;;4;4;4;4;3;3
7751761;1;1;1;19.124.063.167;1;2;;2;2;1;2;;2;;;2;;;2;;;2;;;3;0;;1;1;1;1;2;2;2;2;1;2;2;2;2;2;2;2;;2;;2;2;1;2;2;;1;1;2;;;1;1;1;1;;;;;;1;;;1;;5;10;15;5;5;10;5;5;15;10;5;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;3;3;4;4;2;2
7751762;1;1;1;12.509.183.128;1;1;;2;2;2;3;;2;;;2;;;2;;;2;;;3;0;;1;1;1;1;2;2;2;1;2;1;1;2;2;2;2;2;;1;1;1;2;1;2;1;1;1;1;2;;;2;;;;7;;;;;1;;;2;;10;10;25;5;15;25;10;10;30;30;20;;;;;;;;;;1;;1;;;;;;;;1;;;;;1;;;;;2;2;2;2;1;1
